2020-10-21 20:36:27.8146 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:36:39.6267 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:37:49.4163 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:41:41.6653 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:42:51.7945 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:44:15.1077 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:46:08.9955 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:49:36.2271 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:49:40.2145 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:49:50.9609 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:50:18.7287 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:50:33.3212 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:52:16.3225 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:52:22.8367 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:52:35.3234 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:52:49.0333 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:53:01.1759 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:53:35.8539 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:53:53.0007 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:55:27.8926 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:56:15.2401 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:56:24.8491 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 20:56:45.2143 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:22:54.8321 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:23:12.7380 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:23:20.5935 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:23:29.7952 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:24:56.5709 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:03.2031 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:25.2703 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:29.9925 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:31.6761 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:41.3424 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:25:48.1453 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:42:51.6361 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:44:28.2777 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:44:33.7707 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:44:50.6397 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:45:31.2528 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:45:44.2163 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:47:38.3408 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:49:20.4714 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 21:58:46.7488 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:58:53.5707 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:59:13.2213 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 21:59:28.4393 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:02:24.1988 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:02:59.0536 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:06:28.3964 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:06:46.6305 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:07:00.0946 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:07:15.6990 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:07:31.1386 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:08:04.7786 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:08:41.8027 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:11:50.0908 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:11:57.3594 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:12:11.2674 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:12:17.0125 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:12:20.1950 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:12:35.9594 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:17:47.1307 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:17:51.4479 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:18:02.8198 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:18:07.7994 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 11
2020-10-21 22:18:09.4011 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:18:20.3619 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:18:34.8449 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:20:02.2887 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:34:21.5049 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:34:26.0820 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:34:39.9526 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:34:50.0626 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:34:58.2151 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:35:38.8803 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
